Category: All categories

Week,Milkshake: (United States),Hamburger: (United States),Breakup: (United States)
2024-01-28,23,66,13
2024-02-04,26,70,20
2024-02-11,22,64,16
2024-02-18,25,70,29
2024-02-25,24,68,24
2024-03-03,24,67,17
2024-03-10,26,72,23
2024-03-17,27,66,18
2024-03-24,23,64,16
2024-03-31,21,63,14
2024-04-07,21,66,14
2024-04-14,23,71,19
2024-04-21,22,69,15
2024-04-28,23,77,13
2024-05-05,22,67,13
2024-05-12,21,67,14
2024-05-19,21,76,12
2024-05-26,22,100,13
2024-06-02,23,73,15
2024-06-09,22,72,18
2024-06-16,22,73,23
2024-06-23,23,73,13
2024-06-30,23,96,13
2024-07-07,24,71,14
2024-07-14,23,72,14
2024-07-21,22,69,14
2024-07-28,21,68,12
2024-08-04,23,67,10
2024-08-11,24,67,10
2024-08-18,22,69,11
2024-08-25,23,69,11
2024-09-01,21,68,17
2024-09-08,19,64,12
2024-09-15,19,72,12
2024-09-22,20,59,12
2024-09-29,19,61,14
2024-10-06,20,62,12
2024-10-13,19,60,14
2024-10-20,19,62,14
2024-10-27,18,61,13
2024-11-03,18,55,12
2024-11-10,21,58,13
2024-11-17,19,57,13
2024-11-24,17,50,12
2024-12-01,18,53,14
2024-12-08,18,56,14
2024-12-15,18,56,12
2024-12-22,17,56,13
2024-12-29,23,65,18
2025-01-05,24,65,14
2025-01-12,25,64,14
2025-01-19,23,62,13
2025-01-26,24,64,13
2025-02-02,28,65,14
2025-02-09,24,63,17
2025-02-16,26,68,15
2025-02-23,28,68,14
